# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts
LOAD_FIELD,ASSERT_FUNC,79542
LOAD_LOCAL_SAFE,LOAD_FIELD,79541
ASSERT_FUNC,LOAD_LOCAL_SAFE,70852
LOAD_LOCAL_SAFE,CALL,60961
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,25642
LOAD_CONST,CALL,25351
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,24370
LOAD_FIELD,LOAD_FIELD,22190
CALL,JUMP_IF_FALSE_PEEK,21941
POP,LOAD_LOCAL_SAFE,16391
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,14694
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,14540
CALL,JUMP_IF_FALSE,11010
LOAD_LOCAL_SAFE,LOAD_CONST,10961
STORE_LOCAL,POP,9832
DUPE,STORE_LOCAL,9832
ASSERT_FUNC,CALL,9821
ASSERT_FUNC,LOAD_CONST,9820
JUMP_IF_FALSE,LOAD_CONST,9800
LOAD_CONST,POP,9800
CALL,DUPE,8700
JUMP,LOAD_GLOBAL_BY_INDEX,8690
POP,JUMP,8690
CALL,CALL,6880
CALL,POP,6620
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,5400
CALL,LOAD_CONST,4580
CALL,LOAD_LOCAL_SAFE,4360
POP,LOAD_GLOBAL_BY_INDEX,3307
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,2205
LOAD_GLOBAL_BY_INDEX,CALL,2178
LOAD_CONST,DUPE,1131
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,1130
JUMP_IF_FALSE_PEEK,POP,1051
CALL,JUMP,1050
JUMP,POP,1050
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,333
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,78
LOAD_GLOBAL_BY_INDEX,RETURN,78
LOAD_CONST,LOAD_CONST,70
STORE_FIELD,POP,40
CREATE_LIST,SWAP,40
DUPE,STORE_FIELD,40
SWAP,DUPE,40
LOAD_GLOBAL,LOAD_GLOBAL,37
LOAD_GLOBAL_BY_INDEX,CREATE_LIST,27
DUPE,STORE_GLOBAL,19
CREATE_FUNC,DUPE,17
STORE_GLOBAL,CREATE_FUNC,16
LOAD_CONST,CREATE_LIST,10
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,10
LOAD_GLOBAL,ASSERT_FUNC,9
ASSERT_FUNC,LOAD_GLOBAL,6
LOAD_LOCAL_SAFE,LOAD_GLOBAL,5
POP,LOAD_GLOBAL,4
LOAD_GLOBAL,CREATE_LIST,3
JUMP_IF_FALSE,LOAD_GLOBAL,2
STORE_GLOBAL,LOAD_GLOBAL,2
LOAD_GLOBAL,CALL,2
LOAD_GLOBAL,RETURN,2
POP,LOAD_CONST,1
STORE_GLOBAL,LOAD_CONST,1
LOAD_GLOBAL,LOAD_FIELD,1
CREATE_OBJECT,DUPE,1
LOAD_GLOBAL,CREATE_OBJECT,1
LOAD_GLOBAL,DUPE,1
LOAD_CONST,CREATE_CLASS,1
CREATE_CLASS,DUPE,1
